"","project","study","no","chip","well","plate","sampleID","tag_tube","type","subtype","controltype","collector","host_order","host_family","host_subfamily","host_tribe","host_genus","host_species","sex","location","sublocation","country","weight","date","year","month","day","month_day","datum","kw","BOLD_ID","note","plot_ID","elevation","temp_week","lattitude","longitude","state.province","region","sector","habitat","sample_day","CFU_Caput","CFU_Thorax","CFU_Abdomen","logCFU","tissue","CFUamount","storage","description","tag","genus_tag","group","treatment","PCR","Accession","Tax.ID","BioProject"
"AW.B1.1.NEC1_S30","16S_AW_Butterfly_join12","Other",30,"B1","C6",1,"1_NEC1","","negative","negative","NEC","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","AW_B1_1_NEC1","","","control","negative","low","SAMN55876217",256318,"PRJNA1426605"
"AW.B1.1.NEC2_S56","16S_AW_Butterfly_join12","Other",56,"B1","E8",1,"1_NEC2","","negative","negative","NEC","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","AW_B1_1_NEC2","","","control","negative","low","SAMN55876218",256318,"PRJNA1426605"
"AW.B1.1.NEC3_S87","16S_AW_Butterfly_join12","Other",87,"B1","H3",1,"1_NEC3","","negative","negative","NEC","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","AW_B1_1_NEC3","","","control","negative","low","SAMN55876219",256318,"PRJNA1426605"
"AW.B1.1.TES1_S82","16S_AW_Butterfly_join12","Other",82,"B1","G10",1,"1_TES1","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","AW_B1_1_TES1","","","control","negative","low","SAMN55876221",256318,"PRJNA1426605"
"AW.B1.1.TES2_S83","16S_AW_Butterfly_join12","Other",83,"B1","G11",1,"1_TES2","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","AW_B1_1_TES2","","","control","negative","low","SAMN55876222",256318,"PRJNA1426605"
"AW.B1.1.TES3_S84","16S_AW_Butterfly_join12","Other",84,"B1","G12",1,"1_TES3","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","AW_B1_1_TES3","","","control","negative","low","SAMN55876223",256318,"PRJNA1426605"
"AW.B1.1.TES4_S94","16S_AW_Butterfly_join12","Other",94,"B1","H10",1,"1_TES4","","negative","negative","TES","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","AW_B1_1_TES4","","","control","negative","low","SAMN55876224",256318,"PRJNA1426605"
"AW.B1.1.mock.35Lys_S96","16S_AW_Butterfly_join12","Other",96,"B1","H12",1,"1_mock","","positive","positive","mock","positive","positive","positive","positive","positive","positive","positive","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"positive","","","AW_B1_1_mock_35Lys","","","control","positive","med","SAMN55876216",256318,"PRJNA1426605"
"AW.B1.1.spike.low20_S95","16S_AW_Butterfly_join12","Other",95,"B1","H11",1,"spikelow","","positive","positive","spike_low","positive","positive","positive","positive","positive","positive","positive","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"positive","","","AW_B1_1_spike_low20","","","control","positive","med","SAMN55876220",256318,"PRJNA1426605"
"AW.B1.3.NEC1_S111","16S_AW_Butterfly_join12","Peru",111,"B1","B3",3,"3_NEC1","","negative","negative","NEC","negative","negative","negative","negative","negative","negative","negative","","","","control","","2023",2023,2023,NA,NA,"",NA,"","",NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,"negativ","","","AW_B1_3_NEC1","","","control","negative","low","SAMN55876225",256318,"PRJNA1426605"
