"","project","name_old","study","no","chip","well","plate","sampleID","type","subtype","controltype","collector","host_order","host_family","host_subfamily","host_tribe","host_genus","group_tree","host_species","sex","location","sublocation","country","weight","date","year","month","day","month_day","kw","BOLD_ID","note","plot_ID","elevation","temp_week","latitude","longitude","state.province","region","sector","habitat","sample_day","CFU_Caput","CFU_Thorax","CFU_Abdomen","logCFU","tissue","CFUamount","storage","description","tag","genus_tag","group","treatment","PCR","Accession","Tax.ID","BioProject","time","exact_site","trap","bc_family","bc_genus","bc_species","combined_genus","genus_tree","group_tree.1","sample_id","is.neg","is.pos"
"A4.100.20221113.00986_S74","16S_AW_Butterfly_Peru_bees","A4_100_20221113_00986","Bees",NA,"A4_bees_3","C12",11,"986","sample","Bees","","Andrea","Hymenoptera","Halictidae","Halictinae","Halictinae","Halictinae","Halictidae_diurnal","","","Paucartambo","Tono","Peru","","20221113",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Halictidae_diurnal","","","",NA,"",1100,"Tono","netting",NA,NA,NA,NA,"Halictidae_diurnal","Halictidae_diurnal","A4_100_20221113_00986",FALSE,FALSE
"A4.100.20221113.00988_S76","16S_AW_Butterfly_Peru_bees","A4_100_20221113_00988","Bees",NA,"A4_bees_3","D2",11,"988","sample","Bees","","Andrea","Hymenoptera","Halictidae","Halictinae","Augochlorini","Megalopta","Megalopta","","","Paucartambo","Tono","Peru","","20221113",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Halictidae_nocturnal","","","",NA,"",1900,"Tono","Light trap","","","","Megalopta","Megalopta","Megalopta","A4_100_20221113_00988",FALSE,FALSE
"A4.100.20221115.00967_S55","16S_AW_Butterfly_Peru_bees","A4_100_20221115_00967","Bees",NA,"A4_bees_3","B5",11,"967","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Meliponini","Meliponini","","","Paucartambo","Tono","Peru","","20221115",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",1100,"Tono","netting",NA,NA,NA,NA,"Meliponini","Meliponini","A4_100_20221115_00967",FALSE,FALSE
"A4.100.20221115.00968_S56","16S_AW_Butterfly_Peru_bees","A4_100_20221115_00968","Bees",NA,"A4_bees_3","B6",11,"968","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Partamona","Partamona","","","Paucartambo","Tono","Peru","","20221115",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",1100,"Tono","netting","Apidae","Melipona","Melipona_quadrifasciata","Melipona","Partamona","Partamona","A4_100_20221115_00968",FALSE,FALSE
"A4.100.20221115.00969_S58","16S_AW_Butterfly_Peru_bees","A4_100_20221115_00969","Bees",NA,"A4_bees_3","B7",11,"969","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Partamona","Partamona","","","Paucartambo","Tono","Peru","","20221115",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",1100,"Tono","netting","Apidae","Melipona","Melipona_quadrifasciata","Melipona","Partamona","Partamona","A4_100_20221115_00969",FALSE,FALSE
"A4.100.20221115.00970_S59","16S_AW_Butterfly_Peru_bees","A4_100_20221115_00970","Bees",NA,"A4_bees_3","B8",11,"970","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Partamona","Partamona","","","Paucartambo","Tono","Peru","","20221115",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",1100,"Tono","netting","Apidae","Melipona","Melipona_quadrifasciata","Melipona","Partamona","Partamona","A4_100_20221115_00970",FALSE,FALSE
"A4.100.20221115.00971_S60","16S_AW_Butterfly_Peru_bees","A4_100_20221115_00971","Bees",NA,"A4_bees_3","B9",11,"971","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Partamona","Partamona","","","Paucartambo","Tono","Peru","","20221115",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",1100,"Tono","netting","Apidae","Melipona","Melipona_quadrifasciata","Melipona","Partamona","Partamona","A4_100_20221115_00971",FALSE,FALSE
"A4.100.20221115.00972_S61","16S_AW_Butterfly_Peru_bees","A4_100_20221115_00972","Bees",NA,"A4_bees_3","B10",11,"972","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Trigona","Trigona","","","Paucartambo","Tono","Peru","","20221115",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",1100,"Tono","netting","Apidae","Trigona","Trigona_amazonensis","Trigona","Trigona","Trigona","A4_100_20221115_00972",FALSE,FALSE
"A4.100.20221115.00976_S66","16S_AW_Butterfly_Peru_bees","A4_100_20221115_00976","Bees",NA,"A4_bees_3","C2",11,"976","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Trigona","Trigona","","","Paucartambo","Tono","Peru","","20221115",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",1100,"Tono","netting","Apidae","","",NA,"Trigona","Trigona","A4_100_20221115_00976",FALSE,FALSE
"A4.100.20221115.00977_S67","16S_AW_Butterfly_Peru_bees","A4_100_20221115_00977","Bees",NA,"A4_bees_3","C3",11,"977","sample","Bees","","Andrea","Hymenoptera","Apidae","Apinae","Meliponini","Trigona","Trigona","","","Paucartambo","Tono","Peru","","20221115",NA,NA,NA,NA,NA,"","","100",1000,20.17682771,"-12.95908 S","-71.56586 W","Paucartambo","","Kosnipata","forest, closed canopy",NA,NA,NA,NA,NA,"","","","","","","Meliponini","","","",NA,"",1100,"Tono","netting","Apidae","Trigona","","Trigona","Trigona","Trigona","A4_100_20221115_00977",FALSE,FALSE
