"","AW.B1.1.NEC1_S30","AW.B1.1.NEC2_S56","AW.B1.1.NEC3_S87","AW.B1.1.TES1_S82","AW.B1.1.TES2_S83","AW.B1.1.TES3_S84","AW.B1.1.TES4_S94","AW.B1.1.mock.35Lys_S96","AW.B1.1.spike.low20_S95","AW.B1.3.NEC1_S111","AW.B1.G001_S1","AW.B1.G002_S2","AW.B1.G003_S3","AW.B1.G004_S4","AW.B1.G005_S5","AW.B1.G006_S6","AW.B1.G007_S7","AW.B1.G008_S8","AW.B1.G009_S9","AW.B1.G010_S10","AW.B1.G011_S11","AW.B1.G013_S13","AW.B1.G014_S14","AW.B1.G015_S15","AW.B1.G016_S16","AW.B1.G017_S17","AW.B1.G018_S18","AW.B1.G019_S19","AW.B1.G020_S20","AW.B1.G021_S21","AW.B1.G022_S22","AW.B1.G023_S23","AW.B1.G024_S24","AW.B1.G025_S25","AW.B1.G026_S26","AW.B1.G027_S27","AW.B1.G028_S28","AW.B1.G029_S29","AW.B1.G030_S31","AW.B1.G031_S32","AW.B1.G032_S33","AW.B1.G033_S34","AW.B1.G034_S35","AW.B1.G035_S36","AW.B1.G036_S37","AW.B1.G037_S38","AW.B1.G038_S39","AW.B1.G039_S40","AW.B1.G040_S41","AW.B1.G041_S42","AW.B1.G042_S43","AW.B1.G043_S44","AW.B1.G044_S45","AW.B1.G045_S46","AW.B1.G046_S47","AW.B1.G047_S48","AW.B1.G048_S49","AW.B1.G050_S51","AW.B1.G051_S52","AW.B1.G052_S53","AW.B1.G053_S54","AW.B1.G054_S55","AW.B1.G055_S57","AW.B1.G056_S58","AW.B1.G057_S59","AW.B1.G060_S60","AW.B1.G061_S61","AW.B1.G062_S62","AW.B1.G063_S63","AW.B1.G064_S64","AW.B1.G065_S65","AW.B1.G066_S66","AW.B1.G067_S67","AW.B1.G068_S68","AW.B1.G069_S69","AW.B1.G070_S70","AW.B1.G071_S71","AW.B1.G072_S72","AW.B1.G073_S73","AW.B1.G074_S74","AW.B1.G075_S75","AW.B1.G076_S76","AW.B1.G077_S77","AW.B1.G078_S78","AW.B1.G079_S79","AW.B1.G080_S80","AW.B1.G081_S81","AW.B1.G082_S85","AW.B1.G083_S86","AW.B1.H001_S97","AW.B1.H002_S98","AW.B1.H003_S99","AW.B1.H004_S100","AW.B1.H005_S101","AW.B1.H006_S102","AW.B1.H007_S103","AW.B1.H008_S104","AW.B1.H009_S105","AW.B1.H010_S106","AW.B1.H011_S107","AW.B1.H012_S108","AW.B1.H013_S109","AW.B1.H014_S110","AW.B1.P001_S112","AW.B1.P002_S113","AW.B1.P003_S114","AW.B1.P004_S115","AW.B1.P005_S116","AW.B1.P006_S117","AW.B1.P007_S118","AW.B1.P008_S119","AW.B1.P009_S120","AW.B1.P010_S121","AW.B1.P011_S122","AW.B1.P012_S123","AW.B1.P013_S124","AW.B1.P014_S125","AW.B1.P015_S126","AW.B1.P016_S127","AW.B1.P017_S128","AW.B1.P018_S129","AW.B1.P019_S130","AW.B1.P020_S131","AW.B1.P021_S132","AW.B1.P022_S133","AW.B1.P023_S134","AW.B1.P024_S135","AW.B1.P025_S136","AW.B1.P026_S137","AW.B1.P027_S138","AW.B1.P028_S139","AW.B1.P029_S140","AW.B1.P030_S141","AW.B1.P031_S142","AW.B1.P032_S143","AW.B1.P033_S144","AW.B1.P034_S145","AW.B1.P035_S146","AW.B1.P036_S147","AW.B1.P037_S148","AW.B1.P038_S149","AW.B1.P039_S150","AW.B2.2.TES1_S222","AW.B2.2.TES2_S235","AW.B2.2.TES3_S246","AW.B2.3.TES5_S178","AW.B2.3.TES6_S179","AW.B2.3.TES7_S180","AW.B2.3.TES8_S190","AW.B2.3.mock25_S192","AW.B2.3.spike.high20_S191","AW.B2.G084_S164","AW.B2.G085_S165","AW.B2.G086_S166","AW.B2.G087_S167","AW.B2.G088_S168","AW.B2.G089_S169","AW.B2.G090_S170","AW.B2.G091_S171","AW.B2.G093_S173","AW.B2.G094_S174","AW.B2.G095_S175","AW.B2.G096_S176","AW.B2.G097_S177","AW.B2.G098_S181","AW.B2.G099_S182","AW.B2.G100_S183","AW.B2.P40_S193","AW.B2.P41_S194","AW.B2.P42_S195","AW.B2.P43_S196","AW.B2.P44_S197","AW.B2.P45_S198","AW.B2.P46_S199","AW.B2.P47_S200","AW.B2.P48_S201","AW.B2.P49_S202","AW.B2.P50_S203","AW.B2.P51_S204","AW.B2.P52_S205","AW.B2.P53_S206","AW.B2.P54_S207","AW.B2.P55_S208","AW.B2.P56_S209","AW.B2.P57_S210","AW.B2.P58_S211","AW.B2.P59_S212","AW.B2.P60_S213","AW.B2.P61_S214","AW.B2.P62_S215","AW.B2.P63_S216","AW.B2.P64_S217","AW.B2.P65_S218","AW.B2.P66_S219","AW.B2.P67_S220","AW.B2.P68_S221","AW.B2.P69_S223","AW.B2.P70_S224","AW.B2.P71_S225","AW.B2.P72_S226","AW.B2.P73_S227","AW.B2.P74_S228","AW.B2.P75_S229","AW.B2.P76_S230","AW.B2.P77_S231","AW.B2.P78_S232","AW.B2.P79_S233","AW.B2.P80_S234","AW.B2.P81_S236","AW.B2.P82_S237","AW.B2.P83_S238","AW.B2.P84_S239","AW.B2.P85_S240","AW.B2.P86_S241","AW.B2.P87_S242","AW.B2.P88_S243","AW.B2.P89_S244","AW.B2.P90_S245"
"ASV1",153,185,117,2,7,5,93,124,48,39,11,152,10297,693,224,4731,5366,656,3034,51,1242,44,6984,271,11138,318,167,11327,6017,8808,157,2523,7416,45,238,185,8308,4987,18173,365,27199,380,783,2646,173,7296,139,12723,157,255,1092,17416,9671,71,74,85,31,122,4729,9148,4747,16639,1805,83,73,83,806,612,29,79,33,15,74,56,77,4,15,9,1,18,43,52,23,21,44,48,88,39,5408,192,2639,5132,249,4193,113,38,1910,29,10,72,6106,4510,522,38,56,26,300,46,25,13,38,65,31,20,38,58,47,16,5,21,11,7,1195,1403,55,23,1010,6459,53,13,9,1017,223,12,33,77,12,14,17,14,6,2,43,176,52,2,0,39,33,101,3,18,2,17,3,6,0,3,6,2,3,17,4,4,2,55,1094,22,74,21,166,4168,2141,47,85,959,702,665,580,41,2242,38,911,125,2372,752,1721,61,111,763,384,19,1982,15,721,66,45,74,69,14279,104,57,51,553,20,6953,98,172,2969,615,376,89,4214,265,58,41,5822,818
"ASV10",43,10,23,15,0,4,33,17,9,0,10,6,30,26,0,12,22,0,0,49,0,1304,26,100,73,8,26,52,17,18,8691,15,31,103,2229,13117,103,26,1525,130,37,3589,78,3984,48,11,40,20,0,1,16,15,20,39,0,19,18,53,1926,11,14,502,21,6822,44,25,11,0,22,16,0,1,7,0,1,12,0,6,0,4,6,6,0,0,13,0,0,7,20,1,0,0,0,1,5,0,206,0,4,0,0,0,0,0,2,2,0,114,1,0,2,0,2,1,3,17,3,6,0,135,0,0,88,63,3,0,75,1,5,3,0,171,0,0,0,0,0,1,3,2,1,715,11,16,23,2,1,0,2,0,8,7,20,11,27970,6,0,0,0,8,0,0,0,0,17,0,4,1,0,5,0,0,6,11,2,0,1,0,18,71,666,668,4,0,3,22,10,7,2,16,3,11,11,10,3,2,11,9,8,1,4,4,4,1,0,2,7,6,17,6,0,0,3,1642,19,9,13,9
"ASV100",0,0,12,0,0,0,0,434,28,3,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,1,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,3,0,0,6,0,0,19,0,0,2,0,0,0,0,0,0,0,604,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"ASV10000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV10002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV10003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ASV10004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV10005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV10006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV10007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
