"","kingdom","phylum","order","family","genus"
"ASV1","d:Bacteria","p:Firmicutes","o:Lactobacillales","f:Enterococcaceae","g:Enterococcus"
"ASV10","d:Bacteria","p:Proteobacteria","o:Rhodospirillales","f:Acetobacteraceae","g:Commensalibacter"
"ASV100","d:Bacteria","p:Firmicutes","o:Bacillales","f:Listeriaceae","g:Listeria"
"ASV10000","d:Bacteria","p:Planctomycetes","p:Planctomycetes_spc","p:Planctomycetes_spc_spc","p:Planctomycetes_spc_spc_spc"
"ASV10002","","_spc","_spc_spc","_spc_spc_spc","_spc_spc_spc_spc"
"ASV10003","d:Bacteria","p:Bacteroidetes","o:Cytophagales","f:Cytophagaceae","g:Spirosoma"
"ASV10004","d:Bacteria","p:Proteobacteria","o:Rhodospirillales","f:Acetobacteraceae","g:Acidiphilium"
"ASV10005","d:Bacteria","p:Bacteroidetes","o:Cytophagales","f:Cytophagaceae","g:Huanghella"
"ASV10006","d:Bacteria","p:Proteobacteria","p:Proteobacteria_spc","p:Proteobacteria_spc_spc","p:Proteobacteria_spc_spc_spc"
"ASV10007","d:Bacteria","p:Proteobacteria","o:Sphingomonadales","f:Sphingomonadaceae","g:Sphingomonas"
"ASV10008","d:Bacteria","p:Proteobacteria","o:Rhodospirillales","f:Acetobacteraceae","f:Acetobacteraceae_spc"
"ASV10009","d:Bacteria","p:Armatimonadetes","o:Armatimonadales","f:Armatimonadaceae","g:Armatimonas-Armatimonadetes"
"ASV10010","d:Bacteria","p:Actinobacteria","o:Mycobacteriales","f:Mycobacteriaceae","g:Mycobacterium"
"ASV10011","d:Bacteria","p:Proteobacteria","o:Burkholderiales","f:Comamonadaceae","g:Piscinibacter"
"ASV10012","d:Bacteria","p:Proteobacteria","o:Sphingomonadales","f:Erythrobacteraceae","g:Novosphingobium"
"ASV10014","d:Bacteria","p:Bacteroidetes","o:Cytophagales","f:Cytophagaceae","g:Dyadobacter"
"ASV10015","","_spc","_spc_spc","_spc_spc_spc","_spc_spc_spc_spc"
